ZCTA,Year,CustomerClass,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,AnnualTotalAverage,anyNull?
90001.0,2014.0,commercial,,,,,,,,,,4061.167575993765,3712.130366900859,3471.4941268598277,11244.79206975445,True
90001.0,2014.0,residential,,,,,,,,,,372.6279377352732,308.55685279187816,355.0731209150327,1036.257911442184,True
90001.0,2015.0,commercial,3308.8244392884762,3446.5194704049845,3416.9667458432305,3663.5171606864274,3548.613530326594,3506.2457364341085,3818.3307392996107,3841.663273296789,4158.514555468136,4269.988399071925,3685.0417956656347,3248.801256873527,43913.02710265944,False
90001.0,2015.0,residential,394.0087505087505,309.3716319267921,303.9390842191333,310.5533665075658,297.24519279682573,311.4235763214395,376.90958041247586,380.7419223735013,436.03440860215056,415.5241910944315,329.8819479599069,405.8947903947904,4271.528443117763,False
90001.0,2016.0,commercial,3236.4611197511663,3522.384136858476,3415.7597809076683,3599.710833982853,3465.522585669782,3797.621579358874,4057.9454828660437,4004.6952455183164,4017.6453624318005,4053.1875,3874.81124807396,3517.47200622084,44563.216881639775,False
90001.0,2016.0,residential,418.23945371775415,333.2345803842265,311.5674385537274,292.6566862229415,283.99939030586324,337.76110602826066,391.39560773201094,403.50010156408695,377.43556098057167,353.1802038139441,341.6383901553359,370.51159479251425,4215.120114251237,False
90001.0,2017.0,commercial,3242.7849882720875,3406.844461901021,3452.602523659306,3633.422614274258,3676.294488188976,3838.796238244514,4148.449802371541,4096.869047619048,4368.412509897071,3988.417124901807,3783.2283901665346,3550.6543014996055,45186.77649099576,False
90001.0,2017.0,residential,405.92557193695984,371.1398034646946,305.547463841923,290.9392396837431,294.02065527065525,334.27927836102333,414.5626393675248,410.3755467399044,431.53965832824895,343.18772232950505,346.3119219432869,341.6247323886227,4289.454233656092,False
90001.0,2018.0,commercial,,,,3712.7344854673997,3562.1229571984436,3891.766274509804,4143.16875,4252.695035460993,4239.700236034619,3925.1945988880066,3735.712470214456,3639.6276849642004,35102.72249273792,True
90001.0,2018.0,residential,,,,297.72407501267105,281.7604632263308,325.5197556008147,448.9732928679818,511.2190669371197,428.09472507368633,332.25690495532086,329.7015728056824,352.2931331778071,3307.542989657415,True
